filepath,duration,speaker_id,transcription
/srv/scratch/chacmod/auskidtalk_spontaneous/228_1.wav,2.2541572184429413,228,he is riding his skateboard
/srv/scratch/chacmod/auskidtalk_spontaneous/228_2.wav,4.27342403628117,228,he crashes into the egg the dinosaur egg
/srv/scratch/chacmod/auskidtalk_spontaneous/228_3.wav,1.7203854875283184,228,and then he got upset
/srv/scratch/chacmod/auskidtalk_spontaneous/228_4.wav,3.349070294784582,228,then he listened to the egg when he fell off
/srv/scratch/chacmod/auskidtalk_spontaneous/228_5.wav,2.4459183673469624,228,and the egg started hatching
/srv/scratch/chacmod/auskidtalk_spontaneous/228_6.wav,1.526818918043432,228,it started cracking and then
/srv/scratch/chacmod/auskidtalk_spontaneous/228_7.wav,1.2359540006478935,228,he was shocked
/srv/scratch/chacmod/auskidtalk_spontaneous/228_8.wav,5.420487528344665,228,and then a little like dinosaur popped out of it
/srv/scratch/chacmod/auskidtalk_spontaneous/228_9.wav,3.5744860166288674,228,scared and worried and he was confused
/srv/scratch/chacmod/auskidtalk_spontaneous/228_10.wav,6.122380952380951,228,and then the dinosaur just was hopped out of the egg
/srv/scratch/chacmod/auskidtalk_spontaneous/228_11.wav,3.4399992441420864,228,the boy's like startled to the ground
/srv/scratch/chacmod/auskidtalk_spontaneous/228_12.wav,4.1067346938775415,228,and he ran and hid from the dinosaur
/srv/scratch/chacmod/auskidtalk_spontaneous/228_13.wav,1.7742517006802814,228,cuz he thought the dinosaur would eat him
/srv/scratch/chacmod/auskidtalk_spontaneous/228_14.wav,4.808548752834469,228,but the dinosaur looked around and then he got sad that the guy left
/srv/scratch/chacmod/auskidtalk_spontaneous/228_15.wav,4.906306122448996,228,and that's him lying on the groung like being upset because
/srv/scratch/chacmod/auskidtalk_spontaneous/228_16.wav,1.6984882842025684,228,he can't find his friend
/srv/scratch/chacmod/auskidtalk_spontaneous/228_17.wav,1.7050226757369558,228,and then the boy felt sorry
/srv/scratch/chacmod/auskidtalk_spontaneous/228_18.wav,3.1578987150415685,228,well he was hiding because the dinosaur was sad
/srv/scratch/chacmod/auskidtalk_spontaneous/228_19.wav,2.407732426303852,228,and so he went over and petted the dinosaur
/srv/scratch/chacmod/auskidtalk_spontaneous/228_20.wav,2.3221088435374213,228,and gave the dinosaur some of his milk
/srv/scratch/chacmod/auskidtalk_spontaneous/228_21.wav,1.3650793650793671,228,he started laughing
/srv/scratch/chacmod/auskidtalk_spontaneous/228_22.wav,2.8491865079365084,228,because the dinosaur looked funny
