filepath,duration,speaker_id,transcription
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/219_1.wav,59.767,219,arrive very good so now i want you to tell me what happens in each picture
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/219_2.wav,4.932962910355613,219,the the boy got touch the egg on the skateboard
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/219_3.wav,1.4436176153121636,219,the boy hugs the egg
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/219_4.wav,1.5694998830810505,219,the boy hugged the egg
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/219_5.wav,1.1719590208605126,219,and it cracked
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/219_6.wav,1.3538957404495022,219,the dinosaur camed out
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/219_7.wav,2.2500897979934393,219,the dinosaur was licking the boy
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/219_8.wav,2.3246226693300542,219,the boy was hiding
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/219_9.wav,1.4545212741956703,219,the dinosaur is upset
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/219_10.wav,1.4379886995285318,219,the dinosaur is crying
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/219_11.wav,1.7150046322665418,219,the boy was laughing
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/219_12.wav,1.9019364515912258,219,the boy was patting the dinosaur
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/219_13.wav,3.2948335114832474,219,the boy gave the his milk bottle to the dinosaur
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/219_14.wav,1.8146305181178946,219,the the boys are laughing
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/97_2.wav,2.490000000000002,97,the boy was just riding his skateboard
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/97_3.wav,5.395626391519436,97,the while the boy was riding the skateboard he fell off and bounced into an egg
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/97_4.wav,4.2028671602557495,97,he looked to see what was inside of the egg  egg
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/97_5.wav,5.1780435346204,97,while doing that the egg cracked open and he was like shocked
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/97_6.wav,4.75,97,a dinosaur appeared from the egg and yeah
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/97_7.wav,10.065645353132993,97,the boy fell over the dinosaur came out of the egg and the boy fell over
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/97_8.wav,2.819999999999993,97,the boy hid from the dinosaur behind the tree
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/97_9.wav,3.0190000000000055,97,dinosaur was looking for the boy
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/97_10.wav,2.339999999999989,97,and then got sad because he couldn't find the boy
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/97_11.wav,2.3999999999999915,97,and then the boy looked at the dinosaur
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/97_12.wav,1.980000000000004,97,and they patted him on the head
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/97_13.wav,2.019999999999982,97,and  they fed him his milk
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/97_14.wav,2.4000000000000057,97,and they stop laughing at the dinosaur
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/166_1.wav,13.02544807157905,166,the boy is on the skateboard and he's rolling around the and is about to see the egg
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/166_2.wav,4.001376917916531,166,the the boy bumped into the egg
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/166_3.wav,3.6599999999999966,166,the boy is listening to see if there is anything in the egg
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/166_4.wav,3.539999999999992,166,the egg is opening and the boy is surprised
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/166_5.wav,4.260000000000019,166,the boy is really surprised that a dinosaur came out of the egg
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/166_6.wav,3.6899999999999977,166,the boy is scared of the dinosaur
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/166_7.wav,2.280000000000001,166,the boy is hiding from the dinosaur
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/166_8.wav,11.600000000000023,166,the dinosaur is is the boy the dinosaur is sad that the boy has has run away from him or her
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/166_9.wav,5.819999999999993,166,the the  the dinosaur is really sad and is lying down
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/166_10.wav,0.18199999999998795,166,and
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/166_11.wav,6.210000000000008,166,the the boy is thinking whether he should go over and say hello to the dinosaur
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/166_12.wav,0.5655885265393295,166,really
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/166_13.wav,5.694164715554962,166,the the boy went to meet the dine dinosaur and see if it's ok
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/166_14.wav,4.529999999999973,166,the boy is giving the dinosaur it's his baby bottle
/srv/scratch/chacmod/auskidtalk_spontaneous_v2/166_15.wav,4.6200000000000045,166,the boy think thinks it's funny when the dinosaur is sucking from it
