filepath,duration,speaker_id,transcription,audio_id
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/1_1018/story/1_1018_1_3_008-ch6-speaker16.wav,3.622312925170068,1_1018,THE END,1_1018-1_1018_1_3_008
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/1_1028/story/1_1028_1_3_006-ch6-speaker16.wav,13.746213151927437,1_1028,I THINK I'LL GO TOMORROW HE SAID TO HIMSELF BUT THEN AGAIN PERHAPS I WON'T IT'S SO NICE AND SNUG HERE I GUESS I'LL GO BACK TO MY HOLE UNDER THE LOG FOR A WHILE BEFORE I MAKE UP MY MIND,1_1028-1_1028_1_3_006
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/1_1028/story/1_1028_1_3_008-ch6-speaker16.wav,3.0650793650793653,1_1028,THE END,1_1028-1_1028_1_3_008
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/1_1119/story/1_1119_1_3_006-ch6-speaker16.wav,14.489251700680272,1_1119,I THINK I'LL GO TOMORROW HE SAID TO HIMSELF BUT THEN AGAIN PERHAPS I WON'T IT'S SO NICE AND SNUG HERE I GUESS I'LL GO BACK TO MY HOLE UNDER THE LOG FOR A WHILE BEFORE I MAKE UP MY MIND,1_1119-1_1119_1_3_006
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/1_1119/story/1_1119_1_3_008-ch6-speaker16.wav,1.9505215419501132,1_1119,THE END,1_1119-1_1119_1_3_008
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/1_114/story/1_114_1_3_006-ch6-speaker16.wav,13.93201814058957,1_114,I THINK I'LL GO TOMORROW HE SAID TO HIMSELF BUT THEN AGAIN PERHAPS I WON'T IT'S SO NICE AND SNUG HERE I GUESS I'LL GO BACK TO MY HOLE UNDER THE LOG FOR A WHILE BEFORE I MAKE UP MY MIND,1_114-1_114_1_3_006
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/1_114/story/1_114_1_3_008-ch6-speaker16.wav,1.6718367346938776,1_114,THE END,1_114-1_114_1_3_008
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/1_1166/story/1_1166_1_3_008-ch6-speaker16.wav,2.2291609977324263,1_1166,THE END,1_1166-1_1166_1_3_008
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/1_125/story/1_125_1_3_008-ch6-speaker16.wav,5.201269841269841,1_125,THE END,1_125-1_125_1_3_008
/srv/scratch/speechdata/speech-corpora/AusTalk/speakers/speakers/1_1274/story/1_1274_1_3_008-ch6-speaker16.wav,3.2508390022675737,1_1274,THE END,1_1274-1_1274_1_3_008
