filepath,transcription,duration,speaker_id
/srv/scratch/chacmod/OGI/speech/spontaneous/10/0/ksa30/ksa30xx0.wav,yeah right now a b c d e f g h i j k l m n o p q r s t u v w x y and z i work at the elms in the kitchen or at oregon quick print collating at oregon quick print you put paper on top of paper and at the elms you just basically put away the dishes and serve their vegetables so going to montana going to glacier park and yellowstone with a bunch of friends amber has red hair she uhm she can be nice at times at times uhm and then whoever else really wants to go probably do that uhm you boil the eggs and for seven minutes then you peel them and you cut them up into little pieces and then you put mayonnaise and mustard and salt and pepper in a little ball and you mix them all together and you put it on bread,112.72503401360544,ksa30
/srv/scratch/chacmod/OGI/speech/spontaneous/06/3/ksh3k/ksh3kxx0.wav,a b c d e f g h i j k l m n o p q r s t u v w x y z my favorite vacation was when i went to hawaii with my family we stayed in a hotel by the beach and we had a swimming pool and we and we visited my grandparents there and we got to go snorkeling and go on a boat and there were a lot of pretty fish uhm there were flowers and stuff and it was hot and we stayed on hawaii maui and oahu and we saw some turtles but we didn't see any whales right the island was sandy and there was a lot of mountains and jungles and my fam i have one sister and i have a dog and two cats and uhm my dad is a veterinarian and my mom's a speech teacher and my sister goes to harvey clarke and uhm my house has two stories and three bathrooms and uhm four bedrooms and then we have a pool table downstairs and an extra storage area and we have a playroom and uhm we live in forest grove,123.17315192743764,ksh3k
/srv/scratch/chacmod/OGI/speech/spontaneous/09/1/ksk1b/ksk1bxx0.wav,can i yeah right now a b c d e f g h i j k l m n o p q r s t u v w x y and z it has a boat that sinks and it uhm the boat was really big and it had lots of people on it and it was a really rich boat it's a love story,42.940816326530616,ksk1b
/srv/scratch/chacmod/OGI/speech/spontaneous/10/0/ksa3q/ksa3qxx0.wav,all right a b c d e f g h i j k l m n o p q r s t u v w x y z ok you just want me to say it i play the bass i like to play country music i used to i don't know how to say it i'm going to go to disneyland no uhm all right i was playing football with my friends and uh i got tackled unexpectedly and i fell on my arm and i broke it never made one before okay you get two pieces of bread you put some peanut butter in on both of them you put some jelly on both of them put them together,71.03691609977324,ksa3q
/srv/scratch/chacmod/OGI/speech/spontaneous/10/0/ksa34/ksa34xx0.wav,a b c d e f g h i j k l m n o p q r s t u v w x y z i like oldies i like the beat to it i usually skateboard and play soccer no not really ohh yeah i kick flips three sixty flips vaerials handgrabs uhm nollies board slides fifty fifty grinds it's like board twists where you land back on it uh nose manual is you ride backwards and it's the opposite stance that you normally do truck grind is ollie up on a curb and your trucks slide across the curb uh,69.09750566893425,ksa34
/srv/scratch/chacmod/OGI/speech/spontaneous/05/0/ksg0j/ksg0jxx0.wav,a b c d e f g h i j k l m n o p q r s t u v w x y and z i got a puppy this weekend and we named her shelby and she is a little rat terrier and she's really tiny and uhm she is seven weeks old and and she's uhm she's black and white and she uhm she barks a lot and she plays with my other dog his name is chip and he's also a rat terrier and uhm uhm uhm he's really cute too uhm and i don't know uhm this summer i'm gonna go to alabama because that's where i grew up and that's where most of my relatives live and we're gonna go to florida also and see my aunt and do some stuff down there so and we're gonna fly over there and of flying and uhm we'll see my grandparents and my aunts and my uncles and my new little cousins and we,91.3944671201814,ksg0j
/srv/scratch/chacmod/OGI/speech/spontaneous/07/0/ksi3d/ksi3dxx0.wav,a b c d e f g h i j k l m n o p q r s t u v w x y z what kind of music uhm brandy uhm uhm you cook some meat and then when it's all cooked you uhm uhm i am an only child i'm twelve years old uhm i live with both my parents and my grandpa and one of my uncles and two of my cousins uhm i'm from cornelius uhm it's big uhm it has a lot of trees it's quiet some parts uhm there is a lot of places you can go for fun and,90.83696145124716,ksi3d
/srv/scratch/chacmod/OGI/speech/spontaneous/08/1/ks810/ks810xx0.wav,okay a b c d e f g h i j k l m n o p q r s t u v w x y and z uhm my favorite movie is air force one has ha harrison ford and he's the president and he gets taken over by russians and he's like being held hostage and he's fighting all these people and uhm he finally gets the guy off of the plane and the plane crashes but you know it gets resc rescued out of another plane like the rope thing and i guess that's it is marsha my mom's name is marsha my dad's name is robin uhm my mom works at glencoe high school my dad works at independant marine propeller uhm i have one brother named nick and i have a dog named mustard,66.53102040816327,ks810
/srv/scratch/chacmod/OGI/speech/spontaneous/01/2/ksc3c/ksc3cxx0.wav,a b c d e f g h i j k l m n o p q r s t u v w u x y z i'm home from a trip we went to disneyland and my grandma's house that lives in arizona and uhm my my other grandma's house and my aunt diane's house and i spended the night there one day and i went to uhm my uhm cousin's i went to the z uh disneyland for uhm one day and i went there until i was uhm until it was nine o' clock at night and eight in the morning uhm the tops you spin there's a little circle if you spin it and uhm and you'll spin the tea cup and it'll go around then you try to see how fast you can go,102.0532879818594,ksc3c
/srv/scratch/chacmod/OGI/speech/spontaneous/01/3/ksc03/ksc03xx0.wav,a b c d e f g h i j k l m n o p q r s t u v w x y z i played with my friends and i spent the night at my grandma's with my friend lynn caty i came back home we played at my house for a little bit uhm we played tag and we went in uh my grandma my grandma's jacuzzi uhm hot tub and we uhm we we played in the water and we were uhm pretending that we saw a shark and then i came home and then it i took a shower and then it was time for me and then we were having an open house and then it was kinda dark so i had to get on my pyjamas and go to bed no we're just it's just that at our house we got uhm uhm our house all cleaned up and so we wanted to have just kind of an open house for our family to look at it and everybody look at our new kittens they're uhm we're keep there's four kittens and we keep we are going to keep one of them and we're gonna sell three of them there is one grey full grey one and there's two black one black and white one and two grey and white ones and mama kitty high leave and goes in the box and uhm everyday and every afternoon we bring the kittens in,184.36403628117912,ksc03
